date,amount
2024-11-01,0.00
2024-11-02,0.00
2024-11-03,0.00
2024-11-04,161.72
2024-11-05,0.00
2024-11-06,18.58
2024-11-07,7.86
2024-11-08,3.00
2024-11-09,0.00
2024-11-10,0.00
2024-11-11,24.60
2024-11-12,45.18
2024-11-13,22.50
2024-11-14,20.68
2024-11-15,78.57
2024-11-16,44.40
2024-11-17,0.00
2024-11-18,60.82
2024-11-19,0.00
2024-11-20,41.97
2024-11-21,28.08
2024-11-22,21.15
2024-11-23,110.71
2024-11-24,15.00
2024-11-25,76.23
2024-11-26,47.72
2024-11-27,45.89
2024-11-28,37.10
2024-11-29,37.42
2024-11-30,0.00
